Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
"C101","100u / 25V","CP_EIA-7343-43_Kemet-X",179.5820,-104.5320,90.0000,top
"C201","100u / 25V","CP_EIA-7343-43_Kemet-X",165.8660,-125.2200,180.0000,top
"C301","100n","C_0805_2012Metric",116.9900,-101.9160,270.0000,top
"C401","100n","C_0805_2012Metric",121.5914,-70.4845,0.0000,top
"C402","100n","C_0805_2012Metric",116.6384,-68.3509,0.0000,top
"D201","LED","LED_0805_2012Metric",150.6260,-129.7920,270.0000,top
"D202","LED","LED_0805_2012Metric",156.4680,-129.7920,270.0000,top
"J201","DF40C-100DS-0.4V_51_","HIROSE_DF40C-100DS-0.4V_51_",150.9220,-112.6520,180.0000,top
"J202","DF40C-100DS-0.4V_51_","HIROSE_DF40C-100DS-0.4V_51_",150.9220,-78.6520,180.0000,top
"MICRO_SD401","TF-01A","TF-01A",101.6040,-81.9260,270.0000,top
"R201","1k","R_0805_2012Metric",150.6260,-124.9660,90.0000,top
"R202","2k2","R_0805_2012Metric",141.2007,-73.8742,180.0000,top
"R203","2k2","R_0805_2012Metric",137.1367,-73.8742,180.0000,top
"R204","1k","R_0805_2012Metric",156.4680,-124.9660,90.0000,top
"R205","2k2","R_0805_2012Metric",174.3460,-120.8915,90.0000,top
"R206","2k2","R_0805_2012Metric",178.0580,-120.8915,90.0000,top
"R301","470","R_0805_2012Metric",108.9427,-121.8294,180.0000,top
"R302","470","R_0805_2012Metric",108.9427,-119.2894,0.0000,top
"R401","12k","R_0805_2012Metric",121.6676,-73.0245,180.0000,top
"U201","SN74LV1T34DBV","SOT-23-5",157.4840,-119.8860,90.0000,top
"U301","TPD4EUSB30","USON-10_2.5x1.0mm_P0.5mm",118.4990,-110.2340,270.0000,top
"U302","TPD4EUSB30","USON-10_2.5x1.0mm_P0.5mm",118.4910,-106.1620,270.0000,top
"U401","RT9742GGJ5","TSOT-23-5",116.7400,-71.5880,180.0000,top
