Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
"C101","100u / 25V","CP_EIA-7343-43_Kemet-X",184.5310,-87.8330,90.0000,top
"C102","1uF","C_0805_2012Metric",117.2820,-101.6760,180.0000,top
"C103","2.2uF","C_0805_2012Metric",113.5380,-101.6760,0.0000,top
"C104","100nF","C_0805_2012Metric",166.1160,-101.2950,90.0000,top
"C105","4.7u/10V/X5R","C_0805_2012Metric",163.9570,-101.2950,90.0000,top
"C106","4.7u/10V/X5R","C_0805_2012Metric",156.9720,-97.4850,180.0000,top
"C107","10nF/NP0","C_0805_2012Metric",160.5280,-90.6270,0.0000,top
"C108","10nF/NP0","C_0805_2012Metric",142.8750,-101.5490,90.0000,top
"C109","10nF/NP0","C_0805_2012Metric",176.4030,-108.6610,270.0000,top
"C110","10nF/NP0","C_0805_2012Metric",166.6240,-107.0100,270.0000,top
"C111","10nF/NP0","C_0805_2012Metric",172.5930,-103.7080,270.0000,top
"C201","100nF","C_0805_2012Metric",160.5280,-88.3410,180.0000,top
"C202","22pF","C_0805_2012Metric",152.9080,-76.2100,90.0000,top
"C203","22pF","C_0805_2012Metric",152.9080,-93.7360,270.0000,top
"C204","1uF","C_0805_2012Metric",184.6580,-80.9750,90.0000,top
"C205","1uF","C_0805_2012Metric",177.6730,-80.3400,90.0000,top
"D101","BAT43W-V","D_SOD-123",170.8150,-98.3740,90.0000,top
"FL101","LFCN-180/490","Filter_Mini-Circuits_FV1206",107.3150,-77.5460,180.0000,top
"J102","Conn_Coaxial","SMA_Amphenol_132289_EdgeMount",100.4855,-77.5460,180.0000,top
"Q101","2N7002","SOT-23",179.7050,-108.4070,90.0000,top
"Q102","2N7002","SOT-23",169.7990,-107.1370,90.0000,top
"Q103","2N7002","SOT-23",175.7680,-103.7080,90.0000,top
"R101","10k","R_0805_2012Metric",177.5460,-97.7390,270.0000,top
"R102","10k","R_0805_2012Metric",173.2280,-97.7390,270.0000,top
"R103","220","R_0805_2012Metric",168.2750,-101.2950,270.0000,top
"R104","10k","R_0805_2012Metric",168.2750,-97.7390,270.0000,top
"R105","2k2","R_0805_2012Metric",160.5280,-97.4850,0.0000,top
"R106","5k1","R_0805_2012Metric",160.5280,-95.1990,180.0000,top
"R107","5k1","R_0805_2012Metric",160.5280,-92.9130,0.0000,top
"R108","10k","R_0805_2012Metric",175.3870,-97.7390,270.0000,top
"R109","220","R_0805_2012Metric",171.1960,-78.9195,270.0000,top
"R110","220","R_0805_2012Metric",173.2280,-78.9195,270.0000,top
"R201","2k2","R_0805_2012Metric",169.1640,-78.9195,90.0000,top
"R202","3k9","R_0805_2012Metric",177.7615,-72.2740,0.0000,top
"U101","SA818V","DRA818",129.5300,-88.1490,0.0000,top
"U102","XC6227C401PR-G","SOT-89-5",115.4430,-105.6130,270.0000,top
"U201","STM32F302CBTx","LQFP-48_7x7mm_P0.5mm",170.5650,-88.0585,270.0000,top
"U202","TLV73333PQDBVRQ1","SOT-23-5",181.1020,-80.3400,0.0000,top
"U203","CAT24C32","SOIC-8_3.9x4.9mm_P1.27mm",171.5770,-69.6720,180.0000,top
"Y201","8MHz / 20pF","Crystal_SMD_HC49-SD",152.9080,-85.0390,270.0000,top
