Row,Description,Part,References,Value,Footprint,Quantity Per PCB,Status,Datasheet,LCSC,MOUSER,SnapEDA_Link
1,Unpolarized capacitor,C,C202 C203,22pF,C_0805_2012Metric,2, ,~,,,
2,Unpolarized capacitor,C,C107 C108 C109 C110 C111,10nF/NP0,C_0805_2012Metric,5, ,~,,,
3,Unpolarized capacitor,C,C104 C201,100nF,C_0805_2012Metric,2, ,~,,,
4,Unpolarized capacitor,C,C102 C204 C205,1uF,C_0805_2012Metric,3, ,~,,,
5,Unpolarized capacitor,C,C103,2.2uF,C_0805_2012Metric,1, ,~,,,
6,Polarized capacitor,C_Polarized,C101,100u / 25V,CP_EIA-7343-43_Kemet-X,1, ,~,C132558,,
7,Unpolarized capacitor,C,C105 C106,4.7u/10V/X5R,C_0805_2012Metric,2, ,~,,,
8,"30V 0.2A Small Signal Schottky diode, SOD-123",BAT43W-V,D101,BAT43W-V,D_SOD-123,1, ,http://www.vishay.com/docs/85660/bat42.pdf,,,
9,"180MHz/490MHz 50 Ohm Passive Low Pass Filter, FV1206",LFCN-160,FL101,LFCN-180/490,Filter_Mini-Circuits_FV1206,1, ,https://www.minicircuits.com/pdfs/LFCN-180+.pdf,,,
10,"Generic connector, double row, 02x10, row letter first pin numbering scheme (pin number consists of a letter for the row and a number for the pin index in this row. a1, ..., aN; b1, ..., bN), script generated (kicad-library-utils/schlib/autogen/connector/)",Conn_02x10_Row_Letter_First,J101,Conn_02x10_Row_Letter_First,PCN10C-20S-2.54DS,1, ,~,,798-PCN10C20S254DS72,
11,"Cortex Debug Connector, standard ARM Cortex-M SWD and JTAG interface",Conn_ARM_JTAG_SWD_10,J201,Conn_ARM_JTAG_SWD_10,PinHeader_2x05_P2.54mm_Horizontal,1, ,http://infocenter.arm.com/help/topic/com.arm.doc.ddi0314h/DDI0314H_coresight_components_trm.pdf,,,
12,"coaxial connector (BNC, SMA, SMB, SMC, Cinch/RCA, LEMO, ...)",Conn_Coaxial,J102,Conn_Coaxial,SMA_Amphenol_132289_EdgeMount,1, ,~,,,
13,"0.115A Id, 60V Vds, N-Channel MOSFET, SOT-23",2N7002,Q101 Q102 Q103,2N7002,SOT-23,3, ,https://www.onsemi.com/pub/Collateral/NDS7002A-D.PDF,,,
14,Resistor,R,R103 R109 R110,220,R_0805_2012Metric,3, ,~,,,
15,Resistor,R,R105 R201,2k2,R_0805_2012Metric,2, ,~,,,
16,Resistor,R,R202,3k9,R_0805_2012Metric,1, ,~,,,
17,Resistor,R,R106 R107,5k1,R_0805_2012Metric,2, ,~,,,
18,Resistor,R,R101 R102 R104 R108,10k,R_0805_2012Metric,4, ,~,,,
19,"32 kb CMOS Serial EEPROM, SOIC-8/TSSOP-8/DFN-8",CAT24C128,U203,CAT24C32,SOIC-8_3.9x4.9mm_P1.27mm,1, ,,,,
20,,SA818V,U101,SA818V,DRA818,1, ,,,,https://www.snapeda.com/parts/DRA818V/DORJI/view-part/?ref=snap
21,"STMicroelectronics Arm Cortex-M4 MCU, 128KB flash, 32KB RAM, 72 MHz, 2.0-3.6V, 37 GPIO, LQFP48",STM32F302CBTx,U201,STM32F302CBTx,LQFP-48_7x7mm_P0.5mm,1, ,https://www.st.com/resource/en/datasheet/stm32f302cb.pdf,,,
22,"300mA Capacitor-Free Low Dropout Voltage Regulator, Fixed Output 3.3V, SOT-23-5",TLV73333PDBV,U202,TLV73333PQDBVRQ1,SOT-23-5,1, ,http://www.ti.com/lit/ds/symlink/tlv733p.pdf,C2862550,595-TLV73333PQDBVRQ1,
23,,XC6220B331MR,U102,XC6227C401PR-G,SOT-89-5,1, ,,,,
24,Two pin crystal,Crystal,Y201,8MHz / 20pF,Crystal_SMD_HC49-SD,1, ,~,,,
