Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
"C101","10u","C_1206_3216Metric",134.7470,-70.4850,0.0000,top
"C102","100u / 25V","CP_EIA-7343-43_Kemet-X",179.1970,-87.6300,270.0000,top
"C103","100u / 25V","CP_EIA-7343-43_Kemet-X",184.9120,-80.7720,90.0000,top
"C201","10u","C_1206_3216Metric",127.7620,-82.3620,270.0000,top
"C202","10u","C_1206_3216Metric",130.3020,-82.3620,270.0000,top
"C203","100n","C_0805_2012Metric",132.5880,-81.8540,270.0000,top
"C204","33n","C_0805_2012Metric",140.0810,-78.8060,0.0000,top
"C205","100n","C_0805_2012Metric",140.4620,-80.8380,0.0000,top
"C206","22u","C_1206_3216Metric",136.8570,-91.5060,0.0000,top
"C207","22u","C_1206_3216Metric",136.9060,-94.0460,0.0000,top
"C208","100n","C_0805_2012Metric",137.4140,-96.3320,0.0000,top
"C301","100n","C_0805_2012Metric",148.7170,-99.2530,270.0000,top
"C401","100n","C_0805_2012Metric",143.3830,-67.5640,270.0000,top
"D101","LED","LED_0805_2012Metric",169.1680,-76.3760,0.0000,top
"D102","LED","LED_0805_2012Metric",169.2425,-99.0600,0.0000,top
"L201","6.8u","WE-XHMI_6060",139.7000,-86.1720,0.0000,top
"R101","2k2","R_0805_2012Metric",165.1525,-76.3760,180.0000,top
"R102","1k","R_0805_2012Metric",165.2270,-99.0600,180.0000,top
"R201","49R9","R_0805_2012Metric",141.2240,-75.7580,90.0000,top
"R202","53k6","R_0805_2012Metric",139.1920,-75.7580,270.0000,top
"R203","10k2","R_0805_2012Metric",137.1600,-75.7580,90.0000,top
"R301","100m","R_2512_6332Metric",145.7960,-94.4880,0.0000,top
"R401","100m","R_2512_6332Metric",140.2080,-61.7220,0.0000,top
"U201","TPS62933","SOT-583-8",135.3820,-80.3300,0.0000,top
"U301","INA226","VSSOP-10_3x3mm_P0.5mm",145.6690,-100.3300,0.0000,top
"U401","INA226","VSSOP-10_3x3mm_P0.5mm",140.2080,-67.5640,0.0000,top
