Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
"C101","10uF","C_0805_2012Metric",98.9390,-107.5650,0.0000,bottom
"C102","10uF","C_0805_2012Metric",112.4010,-109.0890,180.0000,bottom
"C103","100nF","C_0805_2012Metric",98.9390,-105.2790,0.0000,bottom
"C104","100nF","C_0805_2012Metric",101.0980,-88.0070,180.0000,bottom
"C105","100nF","C_0805_2012Metric",121.1640,-88.0070,180.0000,bottom
"C106","100nF","C_0805_2012Metric",126.8790,-88.0070,0.0000,bottom
"C107","100nF","C_0805_2012Metric",146.8180,-88.0070,0.0000,bottom
"C108","100nF","C_0805_2012Metric",166.8840,-88.0070,0.0000,bottom
"R103","2k7","R_0805_2012Metric",116.3380,-109.9780,180.0000,bottom
"U101","USBLC6-2SC6","SOT-23-6",100.0820,-84.1970,90.0000,bottom
"U102","FE1.1s","SSOP-28_3.9x9.9mm_P0.635mm",105.6700,-105.4060,270.0000,bottom
"U103","USBLC6-2SC6","SOT-23-6",120.1185,-84.1970,90.0000,bottom
"U104","USBLC6-2SC6","SOT-23-6",127.7680,-84.1970,90.0000,bottom
"U105","USBLC6-2SC6","SOT-23-6",147.8340,-84.1970,90.0000,bottom
"U106","USBLC6-2SC6","SOT-23-6",167.9000,-84.1970,90.0000,bottom
"Y101","12MHz","M49S-SMD",113.7980,-100.3260,0.0000,bottom
