"Comment","Designator","Footprint","LCSC Part #"
"100n","C301,C401,C402","C_0805_2012Metric","C28233"
"100u / 25V","C101,C201","CP_EIA-7343-43_Kemet-X","C132558"
"LED","D201,D202","LED_0805_2012Metric","C84256"
"DF40C-100DS-0.4V_51_","J201,J202","HIROSE_DF40C-100DS-0.4V_51_","C597931"
"HR911130A","J301","HANRUN_HR911130A","C54408"
"TF-01A","MICRO_SD401","TF-01A","C91145"
"470","R301,R302","R_0805_2012Metric","C17710"
"1k","R201,R204","R_0805_2012Metric","C17513"
"2k2","R202,R203,R205,R206","R_0805_2012Metric","C17520"
"12k","R401","R_0805_2012Metric","C17444"
"RT9742GGJ5","U401","TSOT-23-5","C250547"
"SN74LV1T34DBV","U201","SOT-23-5","C100024"
"TPD4EUSB30","U301,U302","USON-10_2.5x1.0mm_P0.5mm","C90627"
