Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
"C101","10u","C_1206_3216Metric",127.1270,-81.1530,90.0000,top
"C102","100u / 25V","CP_EIA-7343-43_Kemet-X",182.7530,-88.0110,0.0000,top
"C103","100u / 25V","CP_EIA-7343-43_Kemet-X",182.7530,-80.3910,0.0000,top
"C104","100u / 25V","CP_EIA-7343-43_Kemet-X",144.7800,-86.1060,0.0000,top
"C201","10u","C_1206_3216Metric",146.0500,-90.1700,180.0000,top
"C202","10u","C_1206_3216Metric",146.0500,-92.8370,180.0000,top
"C203","100n","C_0805_2012Metric",146.5580,-95.3770,180.0000,top
"C205","100n","C_0805_2012Metric",147.1930,-103.1240,0.0000,top
"C206","22u","C_1206_3216Metric",147.5740,-106.8070,270.0000,top
"C207","22u","C_1206_3216Metric",144.9070,-106.8070,270.0000,top
"C208","100n","C_0805_2012Metric",142.3670,-106.2990,270.0000,top
"C301","100n","C_0805_2012Metric",131.3180,-114.2390,270.0000,top
"C401","100n","C_0805_2012Metric",131.4450,-95.6310,270.0000,top
"D101","LED","LED_0805_2012Metric",122.4280,-100.3300,180.0000,top
"D102","LED","LED_0805_2012Metric",122.4280,-119.1260,180.0000,top
"L201","6.8u","WE-XHMI_6060",153.5430,-105.1560,0.0000,top
"R101","2k2","R_0805_2012Metric",122.4280,-98.1710,180.0000,top
"R102","1k","R_0805_2012Metric",122.4280,-116.9670,180.0000,top
"R201","49R9","R_0805_2012Metric",140.9700,-94.3610,270.0000,top
"R202","100k","R_0805_2012Metric",141.9860,-97.4090,0.0000,top
"R203","13k7","R_0805_2012Metric",141.9860,-99.6950,180.0000,top
"R301","10m","R_2512_6332Metric",128.3970,-109.4740,180.0000,top
"R401","10m","R_2512_6332Metric",128.3970,-90.6780,180.0000,top
"U203","LMR51430 500kHz","SOT-23-6",146.5580,-98.7080,0.0000,top
"U301","INA226","VSSOP-10_3x3mm_P0.5mm",128.2700,-115.3160,0.0000,top
"U401","INA226","VSSOP-10_3x3mm_P0.5mm",128.3970,-96.5200,0.0000,top
